PetID,SentimentMagnitude,SentimentScore,NumSentences
86e1089a3,2.4,0.3,6.0
6296e909a,0.7,-0.2,2.0
3422e4906,3.7,0.2,7.0
5842f1ff5,0.9,0.9,1.0
850a43f90,3.7,0.6,6.0
d24c30b4b,0.2,0.0,2.0
1caa6fcdb,0.5,0.2,2.0
97aa9eeac,0.9,0.1,3.0
c06d167ca,0.5,0.1,2.0
7a0942d61,1.1,0.2,3.0
8b693ca84,0.8,0.8,1.0
8e76c8e39,4.4,0.3,10.0
aaedd873d,2.9,0.4,6.0
4a9793dfb,2.6,0.4,6.0
c02be41e6,3.4,0.1,10.0
1fd342e17,1.8,0.6,3.0
b38a74866,0.9,0.9,1.0
f9d07d5fa,1.0,0.3,3.0
1c92ce464,1.8,0.1,4.0
b10e7605a,,,
6436c1a59,2.2,0.3,6.0
234a5a54c,0.6,0.6,1.0
1bc0f89d8,1.1,0.5,2.0
1bf24d8be,3.4,0.2,7.0
988988d5b,0.8,0.8,1.0
cf7d3eec0,3.1,0.2,10.0
85fc3c314,0.8,0.8,1.0
efbf1703a,0.0,0.0,1.0
7843a9dca,0.6,0.3,2.0
d341fbfd6,1.3,0.2,6.0
1a76190c5,1.9,0.3,4.0
edb920079,,,
543130f60,3.7,0.4,5.0
9415bc79e,3.1,0.6,5.0
4c6fe4100,0.0,0.0,1.0
0737e4f11,0.0,0.0,1.0
61fa73996,0.1,0.0,2.0
eabb13cea,,,
deff069a2,3.0,0.4,6.0
4e3640544,0.9,0.9,1.0
ace21b6b1,3.7,0.0,12.0
8ee223a17,0.8,0.8,1.0
9a38d4275,2.6,0.1,5.0
671ffc570,1.7,0.5,3.0
aece6e7bf,0.9,0.9,1.0
c1e816568,0.8,0.1,5.0
22f6c0ac6,2.8,0.3,9.0
ea159d8da,2.2,0.4,4.0
af1035c81,1.5,0.3,4.0
0d25f084f,2.5,0.1,8.0
6fecc5cf7,0.8,0.1,5.0
7fe8ef73d,0.8,0.8,1.0
015c75c9e,1.2,0.0,5.0
9609a0b86,4.0,0.1,14.0
c740abfe1,2.4,0.2,5.0
f6551137d,1.9,0.9,2.0
8c131db77,1.9,0.4,4.0
d765ae877,0.9,0.9,1.0
8ce183889,1.4,0.4,3.0
9c0ddccc8,0.2,0.2,1.0
f9df8656a,0.4,0.0,5.0
f0ef9c777,4.2,0.3,9.0
3181e5424,2.0,-0.1,6.0
9883a048e,1.5,0.0,3.0
b0dec8779,2.4,0.0,13.0
e8d0907ae,0.4,0.0,2.0
e540c1ba5,0.9,0.9,1.0
4a4db4d32,3.0,0.7,4.0
98a98311c,2.0,0.1,5.0
ef14861df,2.2,0.7,3.0
a9bc357f0,1.7,0.5,3.0
aaf4a1439,0.0,0.0,1.0
1e62e6022,1.0,0.1,6.0
4e797dcdd,1.0,0.0,3.0
45d2ddcb8,7.8,0.1,29.0
259b10a3e,1.2,0.4,3.0
d2490c888,4.8,0.1,11.0
2c93c0c11,0.8,0.3,2.0
35593da00,0.0,0.0,1.0
4cc70e613,1.6,0.0,2.0
ff125cf8d,0.9,0.1,5.0
c30dd6e9a,1.9,0.3,5.0
be9474b85,1.3,0.6,2.0
815f4cc08,1.5,0.7,2.0
ec5069cf6,0.8,0.8,1.0
867308404,0.9,0.9,1.0
e9df3ead7,1.1,0.3,3.0
258667857,1.3,0.2,3.0
fd3172797,9.2,0.0,20.0
8df0bb3b3,5.1,0.4,9.0
3d0752cd9,3.3,0.1,5.0
22051ab84,2.4,0.1,6.0
573b3ec3d,0.5,0.2,2.0
370fe2afb,,,
dd308e46b,0.2,-0.2,1.0
6a763a055,0.4,0.1,4.0
5e4154870,,,
a44d42407,1.4,0.4,3.0
cc8401c02,0.1,0.0,3.0
0f24b6cd6,0.1,0.1,1.0
49bb70e36,1.4,0.1,5.0
43ddb2eb4,3.4,0.4,7.0
dae92dd61,2.4,0.6,4.0
a6ac8884b,0.0,0.0,1.0
60ce9e319,4.5,0.3,9.0
5247209aa,0.9,0.9,1.0
19b1f4263,0.4,0.0,4.0
d50e11ec5,1.7,0.4,3.0
4407e70f3,2.4,0.6,4.0
27b6e5aca,1.0,0.5,2.0
80ebea85c,1.0,0.0,5.0
1bf1f95ef,,,
cdab8ba8e,13.7,0.1,30.0
b84dad49f,5.1,0.0,13.0
f0a2122d4,1.0,0.4,2.0
1104fe6bb,3.4,0.4,7.0
46d88ca3e,2.7,0.3,7.0
b99d5d532,0.9,0.9,1.0
2b6d08cba,2.3,0.3,4.0
b9429dc85,,,
c61f6507e,2.3,0.4,4.0
e464fcd4b,8.4,0.4,15.0
86379f12f,5.0,0.2,14.0
55fcdea2f,1.4,0.0,4.0
392d3346e,2.5,0.2,6.0
33db028cb,1.3,0.2,5.0
35c0c3aca,1.5,0.5,3.0
d080818c3,1.1,0.2,3.0
6f0cb510a,1.4,0.3,4.0
61ac3c78c,0.9,0.9,1.0
368b2adc1,4.5,0.3,12.0
2e4c1faf7,,,
a85a1c8c3,2.1,0.7,3.0
